ln,crate,slot,appid,channel,type,device,z,bit_position,z_name,o_name,auto_reset,evaluation,description,ignore,dest,slope,offset,cable,ln status,cn status,cn logic,checked date,inconfig
54,L2KG01-1931,1,23,18,PAL,PROF:COL0:535:P1_LMTSW,207.344,1,NOT_IN,IS_IN,1,0,OTRC006,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,19,PAL,PROF:COL0:535:OUT_LMTSW,207.344,0,NOT_OUT,IS_OUT,1,0,OTRC006,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,22,MAG1,KICK:DIAG0:110:OFF,107.230873,0,NOT_OFF,OFF,1,0,BKRDG0 Off (KICK:DIAG0:110:OFF),2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,23,MAG,BEND:HTR:480:ON,59.923885,1,NOT_ON,ON,1,0,BCXH1 On (BEND:HTR:480:ON),2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,24,MAG,BEND:HTR:480:OFF,59.923885,0,NOT_OFF,OFF,1,0,BCXH1 Off (BEND:HTR:480:OFF),2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,25,MAG,BEND:DIAG0:155:ON,113.792552,1,NOT_ON,ON,1,0,BLRDG0 On (BEND:DIAG0:155:ON),2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,26,MAG,BEND:DIAG0:155:OFF,113.792552,0,NOT_OFF,OFF,1,0,BLRDG0 Off (BEND:DIAG0:155:OFF),2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,27,MAG,BEND:DIAG0:510:ON,166.954918,1,NOT_ON,ON,1,0,BYDG0 On (BEND:DIAG0:510:ON),2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,28,MAG,BEND:DIAG0:510:OFF,166.954918,0,NOT_OFF,OFF,1,0,BYDG0 Off (BEND:DIAG0:510:OFF),2,DIAG0,,,,,,,,100
54,L2KG01-1931,1,23,30,PAL,OTRS:HTR:330:P2_LMTSW,46,2,NOT_IN,IS_IN,1,0,OTR0H04,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,29,PAL,PROF:COL0:535:P2_LMTSW,207.344,2,NOT_IN,IS_IN,1,0,OTRC006,2,DUMPBSY,,,,,,,,100
54,L2KG01-1931,1,23,32,WDOG,SIOC:L0B:MP04:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN54 (SIOC L0B MP04) Alive,0,DUMPBSY,,,,,,,,100
54,L2KG01-1931,2,24,0,BACT,KICK:DIAG0:110,107.230873,,,,0,1,BKRDG0 (KICK:DIAG0:110),2,DIAG0,1,0,N/A,,,,,100
54,L2KG01-1931,2,24,1,BLM,LBLM:GUNB:212:A,45.592,,,,0,1,LBLM:GUNB:212:A,0,DUMPBSY,1,0,L2A06936,,,,,100
54,L2KG01-1931,2,24,2,BLM,LBLM:GUNB:212:B,45.592,,,,0,1,LBLM:GUNB:212:B,0,DUMPBSY,1,0,L2A06937,,,,,100
54,L2KG01-1931,2,24,3,BLM,LBLM:HTR:167:A,257.152,,,,0,1,LBLM:HTR:167:A,2,DUMPBSY,1,0,L2A06938,,,,,100
54,L2KG01-1931,2,24,4,BLM,LBLM:HTR:167:B,257.152,,,,0,1,LBLM:HTR:167:B,2,DUMPBSY,1,0,L2A06939,,,,,100
54,L2KG01-1931,2,24,5,WF,LBLM:HTR:167:B,257.152,,,,0,1,LBLM:HTR:167:B_WF,2,DUMPBSY,1,0,L2A08301,,,,,100
54,L2KG01-1931,3,25,0,BPMS,BPMS:DIAG0:210,121.504931,,,,0,1,BPMDG002 (BPMS:DIAG0:210),2,DIAG0,1,0,N/A,,,,,100
54,L2KG01-1931,3,25,1,BPMS,BPMS:COL0:135,111.003839,,,,0,1,BPMDG000 (BPMS:COL0:135),2,DUMPBSY,1,0,N/A,,,,,100
54,L2KG01-1931,4,26,0,BPMS,BPMS:DIAG0:270,131.373081,,,,0,1,BPMDG004 (BPMS:DIAG0:270),2,DIAG0,1,0,N/A,,,,,100
54,L2KG01-1931,4,26,1,BPMS,BPMS:DIAG0:230,124.316936,,,,0,1,BPMDG003 (BPMS:DIAG0:230),2,DIAG0,1,0,N/A,,,,,100
54,L2KG01-1931,5,27,1,BPMS,BPMS:DIAG0:285,133.502346,,,,0,1,BPMDG005 (BPMS:DIAG0:285),2,DIAG0,1,0,N/A,,,,,100
54,L2KG01-1931,6,28,0,BPMS,BPMS:DIAG0:390,148.922293,,,,0,1,BPMDG009 (BPMS:DIAG0:390),2,DIAG0,1,0,N/A,,,,,100
54,L2KG01-1931,6,28,1,BPMS,BPMS:DIAG0:370,146.625705,,,,0,1,BPMDG008 (BPMS:DIAG0:370),2,DIAG0,1,0,N/A,,,,,100
54,L2KG01-1931,7,29,0,BPMS,BPMS:DIAG0:520,168.813799,,,,0,1,BPMDG012 (BPMS:DIAG0:520),2,DIAG0,1,0,N/A,,,,,100
54,L2KG01-1931,7,29,1,BPMS,BPMS:DIAG0:470,161.29106,,,,0,1,BPMDG011 (BPMS:DIAG0:470),2,DIAG0,1,0,N/A,,,,,100
55,L2KG01-1937,1,352,32,WDOG,SIOC:L0B:MP05:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN55 (SIOC L0B MP05) Alive,0,DUMPBSY,,,,,,,,100
55,L2KG01-1937,4,31,1,BPMS,BPMS:HTR:960,102.676371,,,,0,1,BPMHD03 (BPMS:HTR:960),2,DUMPBSY,1,0,N/A,,,,,100
55,L2KG01-1937,5,32,0,BPMS,BPMS:COL0:640,191.58937,,,,0,1,BPMC008 (BPMS:COL0:640),2,DUMPBSY,1,0,N/A,,,,,100
55,L2KG01-1937,5,32,1,BPMS,BPMS:COL0:560,178.46601,,,,0,1,BPMC007 (BPMS:COL0:560),2,DUMPBSY,1,0,N/A,,,,,100
56,L2KG01-2037,1,353,32,WDOG,SIOC:COL0:MP01:HEARTBEAT,0,0,IS_FAULTED,IS_OK,1,0,LN56 (SIOC COL0 MP01) Alive,0,DUMPBSY,,,,,,,,100
56,L2KG01-2037,3,33,1,BPMS,BPMS:DIAG0:190,118.692923,,,,0,1,BPMDG001 (BPMS:DIAG0:190),2,DIAG0,1,0,N/A,,,,,100
56,L2KG01-2037,4,34,0,BPMS,BPMS:COL0:940,240.582808,,,,0,1,BPMC012 (BPMS:COL0:940),2,DUMPBSY,1,0,N/A,,,,,100
56,L2KG01-2037,4,34,1,BPMS,BPMS:COL0:880,230.959449,,,,0,1,BPMC011 (BPMS:COL0:880),2,DUMPBSY,1,0,N/A,,,,,100
