Column1,Location,Sector,Rack,Elevation,Num_Slots,Shelf_Number,Crate_Id,LN_Area,LN_Location,LN_Type,LN_Slot,LCLS1_ID,Group,Group_Link,Group_Link_Destination,Beam_Line,Network_Drawing,CPU_Name
39,L2KG24-3D37,BYP2,3D,37,7,0,1,BPN24,MP01,2,2,88,10,0,2,Linac,SD-144-182-12-C0,cpu-bpn24-sp01
40,L2KG25-7D37,BYP2,7D,37,7,0,1,BPN25,MP01,2,2,89,11,41,1,Linac,SD-144-182-13-C0,cpu-bpn25-sp01
41,L2KG26-7D37,BYP2,7D,37,7,0,1,BPN26,MP01,2,2,90,11,0,3,Linac,SD-144-182-13-C0,cpu-bpn26-sp01
42,L2KG27-7D37,BYP2,7D,37,7,0,1,BPN27,MP01,2,2,91,11,41,0,Linac,SD-144-182-13-C0,cpu-bpn27-sp01
43,L2KG28-0137,SPR,1,37,7,0,1,BPN28,MP01,2,2,190,12,45,0,SXR,SD-144-182-14-C0,cpu-bpn28-sp01
44,L2KG28-7D27,SPR,7D,30,7,0,1,SPH,MP01,2,2,120,13,47,0,HXR,SD-144-182-15-C0,cpu-sph-sp01
45,L2KG28-7D34,SPR,7D,37,7,0,1,SPS,MP01,2,2,191,12,49,1,SXR,SD-144-182-14-C0,cpu-sps-sp01
46,L2KG29-3D27,SPR,3D,27,7,0,1,SPD,MP01,2,2,92,14,48,0,DMP,SD-144-182-16-C0,cpu-spd-sp01
47,L2KG29-3D34,SPR,3D,34,7,0,1,SPH,MP02,2,2,121,13,50,1,HXR,SD-144-182-15-C0,cpu-sph-sp02
48,L2KG29-7D10,SPR,7D,10,7,0,1,SPD,MP02,2,2,93,14,60,0,DMP,SD-144-182-16-C0,cpu-spd-sp02
49,L2KG29-7D17,SPR,7D,17,7,0,1,SPS,MP02,2,2,192,12,0,4,SXR,SD-144-182-14-C0,cpu-sps-sp02
50,L2KG29-7D24,SPR,7D,24,7,0,1,SPH,MP03,2,2,122,13,0,5,HXR,SD-144-182-15-C0,cpu-sph-sp03
51,L2KG30-4E13,SPR,4E,13,7,0,1,SPD,MP03,2,2,94,14,46,0,DMP,SD-144-182-16-C0,cpu-spd-sp03
52,L2KG30-4E20,SPR,4E,20,7,0,1,SPS,MP03,2,2,193,12,49,0,SXR,SD-144-182-14-C0,cpu-sps-sp03
53,L2KG30-4E27,SPR,4E,27,7,0,1,SPH,MP04,2,2,123,13,50,0,HXR,SD-144-182-15-C0,cpu-sph-sp04
54,L2KG30-7D13,SPR,7D,13,7,0,1,SPD,MP04,2,2,95,14,51,0,DMP,SD-144-182-16-C0,cpu-spd-sp04
55,L2KG30-7D20,SPR,7D,20,7,0,1,SPS,MP04,2,2,194,12,52,0,SXR,SD-144-182-14-C0,cpu-sps-sp04
56,L2KG30-7D27,SPR,7D,27,7,0,1,SPH,MP05,2,2,124,13,53,0,HXR,SD-144-182-15-C0,cpu-sph-sp05
57,B136-0521,BSY,5,21,7,0,1,CLTS,MP01,1,2,195,16,58,0,CLTS,SD-144-182-18-C0,cpu-sps-sp05
58,B136-0528,BSY,5,28,7,0,101,SPS,MP05;MP06;MP07,3,2;5;6,196;197;198,16,62,0,SXR,SD-144-182-18-C0,cpu-sps-sp05
59,B136-0628,BSY,6,28,7,0,1,SPH,MP06;MP07,3,2;5,125;126,15,61,0,HXR,SD-144-182-17-C0,cpu-sph-sp06
60,B106-0117,BSY,1,17,7,0,1,SLTD,MP01,3,2,96,14,92,0,DMP,SD-144-182-16-C0,cpu-sltd-sp01
61,B106-0124,BSY,1,24,7,0,1,BSYH,MP01;MP02,3,2;6,127;128,15,66,0,HXR,SD-144-182-17-C0,cpu-bsyh-sp01
62,B106-0131,BSY,1,31,7,0,1,BSYS,MP01;MP02;MP03,3,2;5;6,199;200;201,16,67,0,SXR,SD-144-182-18-C0,cpu-bsys-sp01
63,B005-L0811,BSY,L08,11,7,0,1,BSYH,MP03,3,2,129,15,0,0,HXR,SD-144-182-17-C0,cpu-bsyh-sp02
64,B005-L0716,BSY,L07,16,7,0,1,BSYS,MP04,3,2,202,16,0,1,SXR,SD-144-182-18-C0,cpu-bsys-sp02
65,B105-0117,LTU,1,17,7,0,1,LTUH,MP01,3,2,130,15,63,0,HXR,SD-144-182-16-C0,cpu-ltuh-sp01
66,B105-0124,LTU,1,24,7,0,101,LTUH,MP02,3,2,131,15,65,0,HXR,SD-144-182-17-C0,cpu-ltuh-sp01
67,B105-0131,LTU,1,31,7,0,1,LTUS,MP01,3,2,203,16,64,0,SXR,SD-144-182-18-C0,cpu-ltus-sp01
68,B911-0620,LTU,6,20,7,0,1,LTUH,MP03,3,2,132,19,0,4,HXR,SD-144-182-21-C0,cpu-ltuh-sp02
69,B911-0627,LTU,6,27,7,0,1,LTUS,MP02,3,2,204,17,0,2,SXR,SD-144-182-19-C0,cpu-ltus-sp02
70,B911-0634,LTU,6,34,7,0,101,LTUS,MP03,3,2,205,17,69,0,SXR,SD-144-182-19-C0,cpu-ltus-sp02
71,B911-0537,LTU,5,37,7,0,101,LTUH,MP04,3,2,133,19,68,0,HXR,SD-144-182-21-C0,cpu-ltuh-sp02
72,B912-1419,LTU,14,19,7,0,1,LTUH,MP05;MP06,3,2;6,134;135,19,71,0,HXR,SD-144-182-21-C0,cpu-ltuh-sp03
73,B912-1426,LTU,14,26,7,0,1,LTUS,MP04;MP05,3,2;6,206;207,17,70,0,SXR,SD-144-182-19-C0,cpu-ltus-sp03
74,B913-10233,LTU,102,33,7,0,1,UNDS,MP01,3,2,208,17,73,0,SXR,SD-144-182-19-C0,cpu-unds-sp01
75,B913-10333,UND,103,33,7,0,1,LTUS,MP06,3,2,209,17,74,0,SXR,SD-144-182-19-C0,cpu-ltus-sp04
76,B913-10711,UND,107,11,7,0,1,UNDH,MP01;MP02,3,2;7,136;137,18,0,3,HXR,SD-144-182-20-C0,cpu-undh-sp01
77,B913-10718,UND,107,18,7,0,1,UNDH,MP03,3,2,138,18,76,0,HXR,SD-144-182-20-C0,cpu-undh-sp05
78,B913-10725,UND,107,25,7,0,1,UNDH,MP04,3,2,139,18,77,0,HXR,SD-144-182-20-C0,cpu-undh-sp06
79,B921-1421,UND,12,21,7,0,1,UNDS,MP02;MP03;MP04,3,2;6;7,210;211;212,20,0,5,SXR,SD-144-182-22-C0,cpu-unds-sp02
80,B921-1433,UND,12,33,7,0,101,UNDS,MP05,3,2,213,21,0,7,SXR,SD-144-182-23-C0,cpu-unds-sp02
81,B921-1517,UND,15,17,7,0,1,UNDH,MP05,3,2,140,23,91,0,HXR,SD-144-182-25-C0,cpu-undh-sp02
82,B921-1524,UND,15,24,7,0,101,UNDH,MP06;MP07;MP10,3,2;6;3,141;142;146,22,0,8,HXR,SD-144-182-24-C0,cpu-undh-sp02
83,B921-8218,UND,82,18,7,0,1,UNDS,MP06;MP08,3,2;5,214;217,20,84,0,SXR,SD-144-182-22-C0,cpu-unds-sp03
84,B921-8233,UND,82,33,7,0,101,UNDS,MP07,3,2,215,20,79,0,SXR,SD-144-182-22-C0,cpu-unds-sp03
85,B921-8317,UND,83,17,7,0,1,UNDH,MP08,3,2,143,22,86,0,HXR,SD-144-182-24-C0,cpu-undh-sp03
86,B921-8324,UND,83,24,7,0,101,UNDH,MP09,3,2,144,22,82,0,HXR,SD-144-182-24-C0,cpu-undh-sp03
87,B940-009-R2,DMP,1,1,7,0,1,FEEH,MP01;MP02,3,2;3,145;147,23,81,0,HXR,SD-144-182-25-C0,cpu-feeh-sp01
88,B940-009-R7,DMP,1,2,7,0,1,FEES,MP01;MP02;MP03,3,2;6;7,216;218;219,21,80,0,SXR,MISSING,cpu-fees-sp01
89,L2KG06-6122,LI06,61,22,7,0,101,L3B,MP06,2,2,97,5,19,0,Linac,SD-144-182-07-C0,cpu-l3b-sp02
90,L2CID-0707,LI00,7,7,7,0,1,GUNB,MP02,2,2,49,0,3,0,Linac,SD-144-182-02-C0,cpu-gunb-sp02
91,B921-8117,UND,81,17,7,0,1,UNDH,MP11,3,2,147,23,0,9,HXR,SD-144-182-25-C0,cpu-undh-sp07
92,B005-L0717,BSY,L07,17,7,0,101,SLTD,MP02,2,2,98,14,0,9,Linac,SD-144-182-25-C0,cpu-bsys-sp02
