Number,Area,Location,Slot,AMC,Crate_Number,Crate,Type,Type_Number,Global_ID,Name,Description
66,L2B,MP03,2,1,14,L2KG04-2609,MPS Analog,2,66,MPS Analog,Analog Inputs
67,L2B,MP03,3,0,14,L2KG04-2609,BPM,4,67,BPM,CMB15/
68,L2B,MP03,4,2,14,L2KG04-2609,LLRF,5,68,LLRF,CM13 / CM14
69,L2B,MP03,5,0,14,L2KG04-2609,BCM/BLEN,3,69,BCM/BLEN,IM21B Torroid
70,L2B,MP04,3,0,15,L2KG04-2615,BPM,4,70,BPM,BPM21B/BPME201
71,L2B,MP04,4,0,15,L2KG04-2615,BCM/BLEN,3,71,BCM/BLEN,BZ21B BLEN
72,L2B,MP04,5,0,15,L2KG04-2615,BPM,4,72,BPM,BPME202/BPME203
73,L2B,MP04,6,0,15,L2KG04-2615,BPM,4,73,BPM,BPME204/BPM2C01
74,L2B,MP03,7,2,14,L2KG04-2609,LLRF,5,74,LLRF,CM11 / CM12
75,BC2B,MP02,2,1,16,L2KG05-6122,MPS Analog,2,75,MPS Analog,Analog Inputs
76,BC2B,MP02,3,2,16,L2KG05-6122,LLRF,5,76,LLRF,CM17 / CM18
77,BC2B,MP02,4,2,16,L2KG05-6122,LLRF,5,77,LLRF,CM19 / CM20
78,BC2B,MP02,5,2,16,L2KG05-6122,LLRF,5,78,LLRF,CM21 / CM22
79,BC2B,MP03,5,2,17,L2KG05-6133,LLRF,5,79,LLRF,CM23 / CM24
80,BC2B,MP03,6,2,17,L2KG05-6133,LLRF,5,80,LLRF,CM25 / CM26
81,BC2B,MP03,1,2,17,L2KG05-6133,MPS Digital,1,81,MPS Digital,Digital Inputs
82,BC2B,MP03,3,0,17,L2KG05-6133,BPM,4,82,BPM,CMB19/CMB20
83,BC2B,MP03,4,0,17,L2KG05-6133,BPM,4,83,BPM,CMB21/CMB22
84,L3B,MP01,3,0,18,L2KG06-6033,BPM,4,84,BPM,CMB23/CMB24
85,L3B,MP01,4,0,18,L2KG06-6033,BPM,4,85,BPM,CMB25/CMB26
86,L3B,MP01,5,0,18,L2KG06-6033,BPM,4,86,BPM,CMB27/
87,L3B,MP02,1,2,19,L2KG06-6133,MPS Digital,1,87,MPS Digital,Digital Inputs
88,L3B,MP02,2,1,19,L2KG06-6133,MPS Analog,2,88,MPS Analog,Analog Inputs
89,L3B,MP02,3,0,19,L2KG06-6133,BPM,4,89,BPM,CMB28/CMB29
90,L3B,MP02,4,0,19,L2KG06-6133,BPM,4,90,BPM,CMB30/CMB31
91,L3B,MP02,5,2,19,L2KG06-6133,LLRF,5,91,LLRF,CM27 / CM28
92,L3B,MP02,6,2,19,L2KG06-6133,LLRF,5,92,LLRF,CM29 / CM30
93,L3B,MP03,1,2,20,L2KG07-3737,MPS Digital,1,93,MPS Digital,Digital Inputs
94,L3B,MP03,2,1,20,L2KG07-3737,MPS Analog,2,94,MPS Analog,Analog Inputs
95,L3B,MP03,3,0,20,L2KG07-3737,BPM,4,95,BPM,CMB32/CMB33
96,L3B,MP03,4,0,20,L2KG07-3737,BPM,4,96,BPM,CMB34/CMB35
97,L3B,MP03,5,0,20,L2KG07-3737,BPM,4,97,BPM,BPMX01/BPMX02
98,L3B,MP04,4,0,21,L2KG07-3831,BPM,4,98,BPM,BPMDOG1/BPMDOG2
99,L3B,MP04,5,0,21,L2KG07-3831,BPM,4,99,BPM,BPMDOG3/BPMDOG4
100,L3B,MP04,6,2,21,L2KG07-3831,LLRF,5,100,LLRF,CM31 / CM32
101,L3B,MP04,7,2,21,L2KG07-3831,LLRF,5,101,LLRF,CM33 / CM34
102,L3B,MP05,1,2,22,L2KG08-3A33,MPS Digital,1,102,MPS Digital,Digital Inputs
103,L3B,MP05,2,1,22,L2KG08-3A33,MPS Analog,2,103,MPS Analog,Analog Inputs
104,L3B,MP05,3,0,22,L2KG08-3A33,BPM,4,104,BPM,BPMDOG5/BPMDOG6
105,L3B,MP05,4,0,22,L2KG08-3A33,BPM,4,105,BPM,BPMDOG7/BPMDOG8
106,L3B,MP05,5,2,22,L2KG08-3A33,LLRF,5,106,LLRF,CM35 / CM36
107,DOG,MP01,3,0,23,L2KG08-8C33,BPM,4,107,BPM,BPML1P/BPML2P
108,DOG,MP01,4,0,23,L2KG08-8C33,BPM,4,108,BPM,BPML3P/BPML4P
109,DOG,MP02,1,2,24,L2KG09-3C33,MPS Digital,1,109,MPS Digital,Digital Inputs
110,DOG,MP02,2,1,24,L2KG09-3C33,MPS Analog,2,110,MPS Analog,Analog Inputs
111,DOG,MP02,3,0,24,L2KG09-3C33,BPM,4,111,BPM,BPML5P/
112,DOG,MP03,1,2,25,L2KG10-0733,MPS Digital,1,112,MPS Digital,Digital Inputs
113,DOG,MP03,3,0,25,L2KG10-0733,BPM,4,113,BPM,BPMBP10/
114,DOG,MP04,4,2,26,L2KG11-4D33,Wire Scanner,7,114,Wire Scanner,WSBP1
115,DOG,MP04,1,2,26,L2KG11-4D33,MPS Digital,1,115,MPS Digital,Digital Inputs
116,DOG,MP04,2,1,26,L2KG11-4D33,MPS Analog,2,116,MPS Analog,Analog Inputs
117,DOG,MP04,3,0,26,L2KG11-4D33,BPM,4,117,BPM,BPMBP11/
118,DOG,MP05,1,2,27,L2KG12-0133,MPS Digital,1,118,MPS Digital,Digital Inputs
119,DOG,MP05,3,0,27,L2KG12-0133,BPM,4,119,BPM,BPMBP12/
120,DOG,MP05,4,2,27,L2KG12-0133,Wire Scanner,7,120,Wire Scanner,WSBP2
121,BPN13,MP01,1,2,28,L2KG13-4D33,MPS Digital,1,121,MPS Digital,Digital Inputs
122,BPN13,MP01,2,1,28,L2KG13-4D33,MPS Analog,2,122,MPS Analog,Analog Inputs
123,BPN13,MP01,3,0,28,L2KG13-4D33,BPM,4,123,BPM,BPMBP13/
124,BPN14,MP01,1,2,29,L2KG14-7D33,MPS Digital,1,124,MPS Digital,Digital Inputs
125,BPN14,MP01,3,0,29,L2KG14-7D33,BPM,4,125,BPM,BPMBP14/
126,BPN14,MP01,5,2,29,L2KG14-7D33,Wire Scanner,7,126,Wire Scanner,WSBP3
127,BPN15,MP01,1,2,30,L2KG15-4D33,MPS Digital,1,127,MPS Digital,Digital Inputs
128,BPN15,MP01,2,1,30,L2KG15-4D33,MPS Analog,2,128,MPS Analog,Analog Inputs
129,BPN15,MP01,3,0,30,L2KG15-4D33,BPM,4,129,BPM,BPMBP15/
130,BPN16,MP01,1,2,31,L2KG16-6C33,MPS Digital,1,130,MPS Digital,Digital Inputs
131,BPN16,MP01,3,0,31,L2KG16-6C33,BPM,4,131,BPM,BPMBP16/
132,BPN16,MP01,5,2,31,L2KG16-6C33,Wire Scanner,7,132,Wire Scanner,WSBP4
133,BPN17,MP01,1,2,32,L2KG17-3D33,MPS Digital,1,133,MPS Digital,Digital Inputs
134,BPN17,MP01,2,1,32,L2KG17-3D33,MPS Analog,2,134,MPS Analog,Analog Inputs
135,BPN17,MP01,3,0,32,L2KG17-3D33,BPM,4,135,BPM,BPMBP17/
136,BPN18,MP01,1,2,33,L2KG18-6C33,MPS Digital,1,136,MPS Digital,Digital Inputs
137,BPN18,MP01,3,0,33,L2KG18-6C33,BPM,4,137,BPM,BPMBP18/
138,BPN19,MP01,1,2,34,L2KG19-6D33,MPS Digital,1,138,MPS Digital,Digital Inputs
139,BPN19,MP01,2,1,34,L2KG19-6D33,MPS Analog,2,139,MPS Analog,Analog Inputs
140,BPN19,MP01,3,0,34,L2KG19-6D33,BPM,4,140,BPM,BPMBP19/
141,BPN20,MP01,1,2,35,FKG20-0127,MPS Digital,1,141,MPS Digital,Digital Inputs
142,BPN20,MP01,3,0,35,FKG20-0127,BPM,4,142,BPM,BPMBP20/
143,BPN21,MP01,1,2,36,L2KG21-0433,MPS Digital,1,143,MPS Digital,Digital Inputs
144,BPN21,MP01,2,1,36,L2KG21-0433,MPS Analog,2,144,MPS Analog,Analog Inputs
145,BPN21,MP01,3,0,36,L2KG21-0433,BPM,4,145,BPM,BPMBP21/
146,BPN22,MP01,1,2,37,L2KG22-7D37,MPS Digital,1,146,MPS Digital,Digital Inputs
147,BPN22,MP01,2,1,37,L2KG22-7D37,MPS Analog,2,147,MPS Analog,Analog Inputs
148,BPN22,MP01,3,0,37,L2KG22-7D37,BPM,4,148,BPM,BPMBP22/
149,BPN23,MP01,1,2,38,L2KG23-7D37,MPS Digital,1,149,MPS Digital,Digital Inputs
150,BPN23,MP01,2,1,38,L2KG23-7D37,MPS Analog,2,150,MPS Analog,Analog Inputs
151,BPN23,MP01,3,0,38,L2KG23-7D37,BPM,4,151,BPM,BPMBP23/
152,BPN24,MP01,1,2,39,L2KG24-3D37,MPS Digital,1,152,MPS Digital,Digital Inputs
153,BPN24,MP01,3,0,39,L2KG24-3D37,BPM,4,153,BPM,BPMBP24/
154,BPN25,MP01,1,2,40,L2KG25-7D37,MPS Digital,1,154,MPS Digital,Digital Inputs
155,BPN25,MP01,2,1,40,L2KG25-7D37,MPS Analog,2,155,MPS Analog,Analog Inputs
156,BPN25,MP01,3,0,40,L2KG25-7D37,BPM,4,156,BPM,BPMBP25/
157,BPN26,MP01,1,2,41,L2KG26-7D37,MPS Digital,1,157,MPS Digital,Digital Inputs
158,BPN26,MP01,2,1,41,L2KG26-7D37,MPS Analog,2,158,MPS Analog,Analog Inputs
159,BPN26,MP01,3,0,41,L2KG26-7D37,BPM,4,159,BPM,BPMBP26/
160,BPN27,MP01,1,2,42,L2KG27-7D37,MPS Digital,1,160,MPS Digital,Digital Inputs
161,BPN27,MP01,2,1,42,L2KG27-7D37,MPS Analog,2,161,MPS Analog,Analog Inputs
162,BPN27,MP01,3,0,42,L2KG27-7D37,BPM,4,162,BPM,BPMBP27/
163,BPN28,MP01,1,2,43,L2KG28-0137,MPS Digital,1,163,MPS Digital,Digital Inputs
164,BPN28,MP01,3,0,43,L2KG28-0137,BPM,4,164,BPM,BPMBP35/BPMBP28
165,BPN28,MP01,4,0,43,L2KG28-0137,BPM,4,165,BPM,BPMSPH/
166,SPH,MP01,1,2,44,L2KG28-7D27,MPS Digital,1,166,MPS Digital,Digital Inputs
167,SPH,MP01,2,1,44,L2KG28-7D27,MPS Analog,2,167,MPS Analog,Analog Inputs
168,SPH,MP01,3,0,44,L2KG28-7D27,BPM,4,168,BPM,BPMSP1H/
169,SPS,MP01,3,0,45,L2KG28-7D34,BPM,4,169,BPM,BPMSP1/BPMSP2
170,SPD,MP01,1,2,46,L2KG29-3D27,MPS Digital,1,170,MPS Digital,Digital Inputs
171,SPD,MP01,3,0,46,L2KG29-3D27,BPM,4,171,BPM,BPMSPS/
172,SPH,MP02,3,0,47,L2KG29-3D34,BPM,4,172,BPM,BPMSP2H/BPMSP3H
173,SPH,MP02,4,0,47,L2KG29-3D34,BPM,4,173,BPM,BPMSP4H/
174,SPD,MP02,1,2,48,L2KG29-7D10,MPS Digital,1,174,MPS Digital,Digital Inputs
175,SPD,MP02,3,0,48,L2KG29-7D10,BCM/BLEN,3,175,BCM/BLEN,IMSP0D Torroid
176,SPD,MP02,4,0,48,L2KG29-7D10,BPM,4,176,BPM,BPMSP1D/
177,SPS,MP02,1,2,49,L2KG29-7D17,MPS Digital,1,177,MPS Digital,Digital Inputs
178,SPS,MP02,2,1,49,L2KG29-7D17,MPS Analog,2,178,MPS Analog,Analog Inputs
179,SPS,MP02,3,0,49,L2KG29-7D17,BPM,4,179,BPM,BPMSP1S/BPMSP2S
180,SPS,MP02,4,0,49,L2KG29-7D17,BPM,4,180,BPM,BPMSP3S/
181,SPS,MP02,5,0,49,L2KG29-7D17,BCM/BLEN,3,181,BCM/BLEN,IMSP0S Torroid
182,SPH,MP03,1,2,50,L2KG29-7D24,MPS Digital,1,182,MPS Digital,Digital Inputs
183,SPH,MP03,3,0,50,L2KG29-7D24,BPM,4,183,BPM,BPMSP5H/BPMSP6H
184,SPH,MP03,4,0,50,L2KG29-7D24,BCM/BLEN,3,184,BCM/BLEN,IMSP0H Torroid
185,SPD,MP03,3,0,51,L2KG30-4E13,BPM,4,185,BPM,BPMSP2D/
186,SPS,MP03,3,0,52,L2KG30-4E20,BPM,4,186,BPM,BPMSP4S/BPMSP5S
187,SPS,MP03,4,0,52,L2KG30-4E20,BPM,4,187,BPM,BPMSP6S/BPMSP7S
188,SPH,MP04,3,0,53,L2KG30-4E27,BPM,4,188,BPM,BPMSP7H/BPMSP8H
