Column1,Location,Sector,Rack,Elevation,Num_Slots,Shelf_Number,Crate_Id,LN_Area,LN_Location,LN_Type,LN_Slot,LCLS1_ID,Group,Group_Link,Group_Link_Destination,Beam_Line,Network_Drawing,CPU_Name,Fiber_id
77,B913-10718,UND,107,18,7,0,1,UNDH,MP03,3,2,134,18,1,2,HXR,SD-144-182-20-C0,cpu-undh-sp01,
78,B913-10725,UND,107,25,7,0,2,LTUH,MP07,3,2,135,18,2,201,HXR,SD-144-182-20-C0,cpu-undh-sp01,
79,B921-1421,DMP,12,21,7,0,0,UNDS,MP02;MP03;MP04,3,2;6;7,205,20,0,1,SXR,SD-144-182-22-C0,cpu-unds-sp02,
80,B921-1433,DMP,12,33,7,0,1,UNDS,MP05,3,2,206,21,0,201,SXR,SD-144-182-23-C0,cpu-unds-sp02,
81,B921-1520,DMP,15,20,7,0,0,UNDH,MP04,3,2,136,23,0,201,HXR,SD-144-182-25-C0,cpu-undh-sp02,
82,B921-1527,DMP,15,27,7,0,1,UNDH,MP05;MP06,3,2;6,137,22,0,1,HXR,SD-144-182-24-C0,cpu-undh-sp02,
83,B921-8218,DMP,82,18,7,0,0,UNDS,MP06,3,2,207,20,2,201,SXR,SD-144-182-22-C0,cpu-unds-sp03,
84,B921-8233,DMP,82,33,7,0,1,UNDS,MP07,3,2,208,20,1,2,SXR,SD-144-182-22-C0,cpu-unds-sp03,
85,B921-8317,DMP,83,17,7,0,0,UNDH,MP07,3,2,138,22,2,201,HXR,SD-144-182-24-C0,cpu-undh-sp03,
86,B921-8324,DMP,83,24,7,0,1,UNDH,MP08,3,2,139,22,1,2,HXR,SD-144-182-24-C0,cpu-undh-sp03,
87,FEE-0101,FEE,1,1,7,0,0,FEEH,MP01,3,2,140,24,0,201,HXR,MISSING,cpu-feeh-sp01,
88,FEE-0102,FEE,1,2,7,0,0,FEES,MP01,3,2,209,25,0,201,SXR,MISSING,cpu-fees-sp01,
