Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#
SIOC_UNDH_MP02_WDOG,HXU,STATE,UNDH,0,0,SIOC:UNDH:MP02:HEARTBEAT,348,B913-10711,33,0
SIOC_UNDH_MP03_WDOG,HXU,STATE,UNDH,0,0,SIOC:UNDH:MP03:HEARTBEAT,349,B913-10718,32,0
SIOC_UNDH_MP04_WDOG,HXU,STATE,UNDH,0,0,SIOC:UNDH:MP04:HEARTBEAT,294,B913-10725,32,0
SIOC_UNDH_MP05_WDOG,HXU,STATE,UNDH,0,0,SIOC:UNDH:MP05:HEARTBEAT,371,B921-1517,32,0
SIOC_UNDH_MP06_WDOG,HXU,STATE,UNDH,0,0,SIOC:UNDH:MP06:HEARTBEAT,316,B921-1524,32,0
SIOC_UNDH_MP07_WDOG,HXU,STATE,UNDH,0,0,SIOC:UNDH:MP07:HEARTBEAT,316,B921-1524,33,0
SIOC_UNDH_MP08_WDOG,HXU,STATE,UNDH,0,0,SIOC:UNDH:MP08:HEARTBEAT,374,B921-8317,32,0
SIOC_UNDH_MP09_WDOG,HXU,STATE,UNDH,0,0,SIOC:UNDH:MP09:HEARTBEAT,375,B921-8324,32,0
SIOC_FEEH_MP01_WDOG,HXU,STATE,FEEH,0,0,SIOC:FEEH:MP01:HEARTBEAT,340,B940-009-R2,32,0
SIOC_SPS_MP05_WDOG,SXU,STATE,SPS,0,0,SIOC:SPS:MP05:HEARTBEAT,201,B136-0528,32,0
SIOC_SPS_MP06_WDOG,SXU,STATE,SPS,0,0,SIOC:SPS:MP06:HEARTBEAT,201,B136-0528,33,0
SIOC_SPS_MP07_WDOG,SXU,STATE,SPS,0,0,SIOC:SPS:MP07:HEARTBEAT,201,B136-0528,34,0
SIOC_CLTS_MP01_WDOG,SXU,STATE,CLTS,0,0,SIOC:CLTS:MP01:HEARTBEAT,200,B136-0521,32,0
SIOC_BSYS_MP01_WDOG,SXU,STATE,BSYS,0,0,SIOC:BSYS:MP01:HEARTBEAT,221,B106-0131,32,0
SIOC_BSYS_MP02_WDOG,SXU,STATE,BSYS,0,0,SIOC:BSYS:MP02:HEARTBEAT,221,B106-0131,33,0
SIOC_BSYS_MP03_WDOG,SXU,STATE,BSYS,0,0,SIOC:BSYS:MP03:HEARTBEAT,221,B106-0131,34,0
SIOC_BSYS_MP04_WDOG,SXU,STATE,BSYS,0,0,SIOC:BSYS:MP04:HEARTBEAT,228,B005-L0716,32,0
SIOC_LTUS_MP01_WDOG,SXU,STATE,LTUS,0,0,SIOC:LTUS:MP01:HEARTBEAT,367,B105-0131,32,0
SIOC_LTUS_MP02_WDOG,SXU,STATE,LTUS,0,0,SIOC:LTUS:MP02:HEARTBEAT,368,B911-0627,32,0
SIOC_LTUS_MP03_WDOG,SXU,STATE,LTUS,0,0,SIOC:LTUS:MP03:HEARTBEAT,254,B911-0634,32,0
SIOC_LTUS_MP04_WDOG,SXU,STATE,LTUS,0,0,SIOC:LTUS:MP04:HEARTBEAT,266,B912-1426,32,0
SIOC_LTUS_MP05_WDOG,SXU,STATE,LTUS,0,0,SIOC:LTUS:MP05:HEARTBEAT,266,B912-1426,33,0
SIOC_LTUS_MP06_WDOG,SXU,STATE,LTUS,0,0,SIOC:LTUS:MP06:HEARTBEAT,347,B913-10333,32,0
SIOC_UNDS_MP01_WDOG,SXU,STATE,UNDS,0,0,SIOC:UNDS:MP01:HEARTBEAT,272,B913-10233,32,0
SIOC_UNDS_MP02_WDOG,SXU,STATE,UNDS,0,0,SIOC:UNDS:MP02:HEARTBEAT,370,B921-1421,32,0
SIOC_UNDS_MP03_WDOG,SXU,STATE,UNDS,0,0,SIOC:UNDS:MP03:HEARTBEAT,370,B921-1421,33,0
SIOC_UNDS_MP04_WDOG,SXU,STATE,UNDS,0,0,SIOC:UNDS:MP04:HEARTBEAT,370,B921-1421,34,0
SIOC_UNDS_MP05_WDOG,SXU,STATE,UNDS,0,0,SIOC:UNDS:MP05:HEARTBEAT,306,B921-1433,32,0
SIOC_UNDS_MP06_WDOG,SXU,STATE,UNDS,0,0,SIOC:UNDS:MP06:HEARTBEAT,372,B921-8218,32,0
SIOC_UNDS_MP07_WDOG,SXU,STATE,UNDS,0,0,SIOC:UNDS:MP07:HEARTBEAT,373,B921-8233,32,0
SIOC_FEES_MP01_WDOG,SXU,STATE,FEES,0,0,SIOC:FEES:MP01:HEARTBEAT,342,B940-009-R7,32,0
