Device,Mitigation,Fault,Area,LINAC_Z,Position,MPS_Signal_Source_Location,Application_Card_Number,MPS_Crate,MPS_Channel_#1,Drawing_#,Measured_Device_Type_Id
CM17-Cavity8,LINAC,STATE,L3B,1343.71601,1780,LLRF Card,76,L2KG05-6122,7,N/A,7
CM18-Cavity1,LINAC,STATE,L3B,1383.809154,1810,LLRF Card,76,L2KG05-6122,8,N/A,7
CM18-Cavity2,LINAC,STATE,L3B,1383.809154,1820,LLRF Card,76,L2KG05-6122,9,N/A,7
CM18-Cavity3,LINAC,STATE,L3B,1383.809154,1830,LLRF Card,76,L2KG05-6122,10,N/A,7
CM18-Cavity4,LINAC,STATE,L3B,1383.809154,1840,LLRF Card,76,L2KG05-6122,11,N/A,7
CM18-Cavity5,LINAC,STATE,L3B,1383.809154,1850,LLRF Card,76,L2KG05-6122,12,N/A,7
CM18-Cavity6,LINAC,STATE,L3B,1383.809154,1860,LLRF Card,76,L2KG05-6122,13,N/A,7
CM18-Cavity7,LINAC,STATE,L3B,1383.809154,1870,LLRF Card,76,L2KG05-6122,14,N/A,7
CM18-Cavity8,LINAC,STATE,L3B,1383.809154,1880,LLRF Card,76,L2KG05-6122,15,N/A,7
CM19-Cavity1,LINAC,STATE,L3B,1423.902297,1910,LLRF Card,77,L2KG05-6122,0,N/A,7
CM19-Cavity2,LINAC,STATE,L3B,1423.902297,1920,LLRF Card,77,L2KG05-6122,1,N/A,7
CM19-Cavity3,LINAC,STATE,L3B,1423.902297,1930,LLRF Card,77,L2KG05-6122,2,N/A,7
CM19-Cavity4,LINAC,STATE,L3B,1423.902297,1940,LLRF Card,77,L2KG05-6122,3,N/A,7
CM19-Cavity5,LINAC,STATE,L3B,1423.902297,1950,LLRF Card,77,L2KG05-6122,4,N/A,7
CM19-Cavity6,LINAC,STATE,L3B,1423.902297,1960,LLRF Card,77,L2KG05-6122,5,N/A,7
CM19-Cavity7,LINAC,STATE,L3B,1423.902297,1970,LLRF Card,77,L2KG05-6122,6,N/A,7
CM19-Cavity8,LINAC,STATE,L3B,1423.902297,1980,LLRF Card,77,L2KG05-6122,7,N/A,7
CM20-Cavity1,LINAC,STATE,L3B,1463.99544,2010,LLRF Card,77,L2KG05-6122,8,N/A,7
CM20-Cavity2,LINAC,STATE,L3B,1463.99544,2020,LLRF Card,77,L2KG05-6122,9,N/A,7
CM20-Cavity3,LINAC,STATE,L3B,1463.99544,2030,LLRF Card,77,L2KG05-6122,10,N/A,7
CM20-Cavity4,LINAC,STATE,L3B,1463.99544,2040,LLRF Card,77,L2KG05-6122,11,N/A,7
CM20-Cavity5,LINAC,STATE,L3B,1463.99544,2050,LLRF Card,77,L2KG05-6122,12,N/A,7
CM20-Cavity6,LINAC,STATE,L3B,1463.99544,2060,LLRF Card,77,L2KG05-6122,13,N/A,7
CM20-Cavity7,LINAC,STATE,L3B,1463.99544,2070,LLRF Card,77,L2KG05-6122,14,N/A,7
CM20-Cavity8,LINAC,STATE,L3B,1463.99544,2080,LLRF Card,77,L2KG05-6122,15,N/A,7
CM21-Cavity1,LINAC,STATE,L3B,1504.088583,2110,LLRF Card,78,L2KG05-6122,0,N/A,7
CM21-Cavity2,LINAC,STATE,L3B,1504.088583,2120,LLRF Card,78,L2KG05-6122,1,N/A,7
CM21-Cavity3,LINAC,STATE,L3B,1504.088583,2130,LLRF Card,78,L2KG05-6122,2,N/A,7
CM21-Cavity4,LINAC,STATE,L3B,1504.088583,2140,LLRF Card,78,L2KG05-6122,3,N/A,7
CM21-Cavity5,LINAC,STATE,L3B,1504.088583,2150,LLRF Card,78,L2KG05-6122,4,N/A,7
CM21-Cavity6,LINAC,STATE,L3B,1504.088583,2160,LLRF Card,78,L2KG05-6122,5,N/A,7
CM21-Cavity7,LINAC,STATE,L3B,1504.088583,2170,LLRF Card,78,L2KG05-6122,6,N/A,7
CM21-Cavity8,LINAC,STATE,L3B,1504.088583,2180,LLRF Card,78,L2KG05-6122,7,N/A,7
CM22-Cavity1,LINAC,STATE,L3B,1544.181726,2210,LLRF Card,78,L2KG05-6122,8,N/A,7
CM22-Cavity2,LINAC,STATE,L3B,1544.181726,2220,LLRF Card,78,L2KG05-6122,9,N/A,7
CM22-Cavity3,LINAC,STATE,L3B,1544.181726,2230,LLRF Card,78,L2KG05-6122,10,N/A,7
CM22-Cavity4,LINAC,STATE,L3B,1544.181726,2240,LLRF Card,78,L2KG05-6122,11,N/A,7
CM22-Cavity5,LINAC,STATE,L3B,1544.181726,2250,LLRF Card,78,L2KG05-6122,12,N/A,7
CM22-Cavity6,LINAC,STATE,L3B,1544.181726,2260,LLRF Card,78,L2KG05-6122,13,N/A,7
CM22-Cavity7,LINAC,STATE,L3B,1544.181726,2270,LLRF Card,78,L2KG05-6122,14,N/A,7
CM22-Cavity8,LINAC,STATE,L3B,1544.181726,2280,LLRF Card,78,L2KG05-6122,15,N/A,7
CM23-Cavity1,LINAC,STATE,L3B,1584.274869,2310,LLRF Card,79,L2KG05-6133,0,N/A,7
CM23-Cavity2,LINAC,STATE,L3B,1584.274869,2320,LLRF Card,79,L2KG05-6133,1,N/A,7
CM23-Cavity3,LINAC,STATE,L3B,1584.274869,2330,LLRF Card,79,L2KG05-6133,2,N/A,7
CM23-Cavity4,LINAC,STATE,L3B,1584.274869,2340,LLRF Card,79,L2KG05-6133,3,N/A,7
CM23-Cavity5,LINAC,STATE,L3B,1584.274869,2350,LLRF Card,79,L2KG05-6133,4,N/A,7
CM23-Cavity6,LINAC,STATE,L3B,1584.274869,2360,LLRF Card,79,L2KG05-6133,5,N/A,7
CM23-Cavity7,LINAC,STATE,L3B,1584.274869,2370,LLRF Card,79,L2KG05-6133,6,N/A,7
CM23-Cavity8,LINAC,STATE,L3B,1584.274869,2380,LLRF Card,79,L2KG05-6133,7,N/A,7
CM24-Cavity1,LINAC,STATE,L3B,1624.368012,2410,LLRF Card,79,L2KG05-6133,8,N/A,7
CM24-Cavity2,LINAC,STATE,L3B,1624.368012,2420,LLRF Card,79,L2KG05-6133,9,N/A,7
CM24-Cavity3,LINAC,STATE,L3B,1624.368012,2430,LLRF Card,79,L2KG05-6133,10,N/A,7
CM24-Cavity4,LINAC,STATE,L3B,1624.368012,2440,LLRF Card,79,L2KG05-6133,11,N/A,7
CM24-Cavity5,LINAC,STATE,L3B,1624.368012,2450,LLRF Card,79,L2KG05-6133,12,N/A,7
CM24-Cavity6,LINAC,STATE,L3B,1624.368012,2460,LLRF Card,79,L2KG05-6133,13,N/A,7
CM24-Cavity7,LINAC,STATE,L3B,1624.368012,2470,LLRF Card,79,L2KG05-6133,14,N/A,7
CM24-Cavity8,LINAC,STATE,L3B,1624.368012,2480,LLRF Card,79,L2KG05-6133,15,N/A,7
CM25-Cavity1,LINAC,STATE,L3B,1664.461155,2510,LLRF Card,80,L2KG05-6133,0,N/A,7
CM25-Cavity2,LINAC,STATE,L3B,1664.461155,2520,LLRF Card,80,L2KG05-6133,1,N/A,7
CM25-Cavity3,LINAC,STATE,L3B,1664.461155,2530,LLRF Card,80,L2KG05-6133,2,N/A,7
CM25-Cavity4,LINAC,STATE,L3B,1664.461155,2540,LLRF Card,80,L2KG05-6133,3,N/A,7
CM25-Cavity5,LINAC,STATE,L3B,1664.461155,2550,LLRF Card,80,L2KG05-6133,4,N/A,7
CM25-Cavity6,LINAC,STATE,L3B,1664.461155,2560,LLRF Card,80,L2KG05-6133,5,N/A,7
CM25-Cavity7,LINAC,STATE,L3B,1664.461155,2570,LLRF Card,80,L2KG05-6133,6,N/A,7
CM25-Cavity8,LINAC,STATE,L3B,1664.461155,2580,LLRF Card,80,L2KG05-6133,7,N/A,7
CM26-Cavity1,LINAC,STATE,L3B,1712.918176,2610,LLRF Card,80,L2KG05-6133,8,N/A,7
CM26-Cavity2,LINAC,STATE,L3B,1712.918176,2620,LLRF Card,80,L2KG05-6133,9,N/A,7
CM26-Cavity3,LINAC,STATE,L3B,1712.918176,2630,LLRF Card,80,L2KG05-6133,10,N/A,7
CM26-Cavity4,LINAC,STATE,L3B,1712.918176,2640,LLRF Card,80,L2KG05-6133,11,N/A,7
CM26-Cavity5,LINAC,STATE,L3B,1712.918176,2650,LLRF Card,80,L2KG05-6133,12,N/A,7
CM26-Cavity6,LINAC,STATE,L3B,1712.918176,2660,LLRF Card,80,L2KG05-6133,13,N/A,7
CM26-Cavity7,LINAC,STATE,L3B,1712.918176,2670,LLRF Card,80,L2KG05-6133,14,N/A,7
CM26-Cavity8,LINAC,STATE,L3B,1712.918176,2680,LLRF Card,80,L2KG05-6133,15,N/A,7
CM27-Cavity1,LINAC,STATE,L3B,1753.011319,2710,LLRF Card,91,L2KG06-6133,0,N/A,7
CM27-Cavity2,LINAC,STATE,L3B,1753.011319,2720,LLRF Card,91,L2KG06-6133,1,N/A,7
CM27-Cavity3,LINAC,STATE,L3B,1753.011319,2730,LLRF Card,91,L2KG06-6133,2,N/A,7
CM27-Cavity4,LINAC,STATE,L3B,1753.011319,2740,LLRF Card,91,L2KG06-6133,3,N/A,7
CM27-Cavity5,LINAC,STATE,L3B,1753.011319,2750,LLRF Card,91,L2KG06-6133,4,N/A,7
CM27-Cavity6,LINAC,STATE,L3B,1753.011319,2760,LLRF Card,91,L2KG06-6133,5,N/A,7
CM27-Cavity7,LINAC,STATE,L3B,1753.011319,2770,LLRF Card,91,L2KG06-6133,6,N/A,7
CM27-Cavity8,LINAC,STATE,L3B,1753.011319,2780,LLRF Card,91,L2KG06-6133,7,N/A,7
CM28-Cavity1,LINAC,STATE,L3B,1793.104462,2810,LLRF Card,91,L2KG06-6133,8,N/A,7
CM28-Cavity2,LINAC,STATE,L3B,1793.104462,2820,LLRF Card,91,L2KG06-6133,9,N/A,7
CM28-Cavity3,LINAC,STATE,L3B,1793.104462,2830,LLRF Card,91,L2KG06-6133,10,N/A,7
CM28-Cavity4,LINAC,STATE,L3B,1793.104462,2840,LLRF Card,91,L2KG06-6133,11,N/A,7
CM28-Cavity5,LINAC,STATE,L3B,1793.104462,2850,LLRF Card,91,L2KG06-6133,12,N/A,7
CM28-Cavity6,LINAC,STATE,L3B,1793.104462,2860,LLRF Card,91,L2KG06-6133,13,N/A,7
